,title,artist,lyrics,audio,text_arousal,text_valence,audio_arousal,audio_valence,arousal,valence
4VPXFi4vFTtS9wHe6oMQaT,I Can't Fall in Love Without You,Zara Larsson,temp/temp_4VPXFi4vFTtS9wHe6oMQaT.txt,temp/temp_features_4VPXFi4vFTtS9wHe6oMQaT.csv,0.1447914438502674,0.1782139037433155,0.5568723058825187,0.5428371342076562,,
2TukzxmwVW0JkiI8isgUXd,Need Somebody (Acoustic),Xuitcasecity,,temp/temp_features_2TukzxmwVW0JkiI8isgUXd.csv,,,0.5374501296771872,0.5497090419223281,,
4GUXTRTjQ4voLzwLw9qbPx,I Believe You,FLETCHER,,temp/temp_features_4GUXTRTjQ4voLzwLw9qbPx.csv,,,0.5403198092559598,0.5610073371762613,,
0UkZ0epPTahsPgLXacC5EG,Worthy Of You,Plested,,temp/temp_features_0UkZ0epPTahsPgLXacC5EG.csv,,,0.47016840929005355,0.4965398769331867,,
4KnnWpUyPfQD6X5SQSTlH3,Turn Back Time,Daniel Schulz,,temp/temp_features_4KnnWpUyPfQD6X5SQSTlH3.csv,,,0.5487135469837732,0.6065926925204537,,
7oHijHxh7cI40fNC4S619V,Runaway,Sasha Sloan,,temp/temp_features_7oHijHxh7cI40fNC4S619V.csv,,,0.5273817248819965,0.556830473816681,,
3gwJhiaCPcdLgPePwxPd1S,Only You - Acoustic,Sarah Close,,temp/temp_features_3gwJhiaCPcdLgPePwxPd1S.csv,,,0.4502634839029902,0.4963304612063384,,
7tTRP2vA00uScZ4SjB3ZQZ,Rush (feat. Jessie Reyez),Lewis Capaldi,,temp/temp_features_7tTRP2vA00uScZ4SjB3ZQZ.csv,,,0.6050730881287811,0.6558455248065158,,
1almCHdsfikRPfVB9VrEdT,Little Do You Know,Alex & Sierra,temp/temp_1almCHdsfikRPfVB9VrEdT.txt,temp/temp_features_1almCHdsfikRPfVB9VrEdT.csv,0.1511934306569343,0.2423759124087591,0.5713674818155494,0.6128636771247391,,
1afyMOxQCyfxUOSrCkStsy,Wildfire,SYML,temp/temp_1afyMOxQCyfxUOSrCkStsy.txt,temp/temp_features_1afyMOxQCyfxUOSrCkStsy.csv,0.14918828451882843,0.17717991631799163,0.4536070851978473,0.48238470015631163,,
52okn5MNA47tk87PeZJLEL,Let You Down,NF,temp/temp_52okn5MNA47tk87PeZJLEL.txt,temp/temp_features_52okn5MNA47tk87PeZJLEL.csv,0.13010961214165262,0.16020236087689713,0.5297115515159522,0.5452806438931295,,
3g2koMSfvsAGKcBAHyFtUF,Alone With You,Canyon City,,temp/temp_features_3g2koMSfvsAGKcBAHyFtUF.csv,,,0.38915477377653573,0.5067120481611982,,
