,mean,std,min,max
pcm_RMSenergy_sma_de_mean,7.632696653549925e-06,1.6539379817490304e-05,-4.3156905202247175e-05,0.00011050522863636354
pcm_zcr_sma_de_mean,-4.0303605459074854e-05,5.006499066414151e-05,-0.00013774446719662926,0.0001352470603761364
audSpec_Rfilt_sma_de[0]_mean,-3.230508737831552e-06,2.993744771786383e-05,-0.0007666757691249999,0.00023851447022727265
audSpec_Rfilt_sma_de[1]_mean,-8.254264384739044e-06,6.58964165908356e-05,-0.0015087009902272721,0.0006276834607954545
audSpec_Rfilt_sma_de[2]_mean,-1.3555356992014995e-05,8.381956500624931e-05,-0.0022301778310227283,0.0006430998482613638
audSpec_Rfilt_sma_de[3]_mean,-2.091567216042998e-05,0.00019541719541242238,-0.007628686741022729,0.0007491008556818183
audSpec_Rfilt_sma_de[4]_mean,-2.7606655305867404e-05,0.0003614633929724815,-0.014438965949886362,0.001421965676818182
audSpec_Rfilt_sma_de[5]_mean,-3.052245259105542e-05,0.00043015423145746027,-0.01732733115738637,0.001804255086590909
audSpec_Rfilt_sma_de[6]_mean,-2.9783532725937954e-05,0.0003355862593930642,-0.013103975512500005,0.001989191328409091
audSpec_Rfilt_sma_de[7]_mean,-3.0216613936686818e-05,0.00037201582791705567,-0.01444571067075341,0.0019583431210227274
audSpec_Rfilt_sma_de[8]_mean,-3.3942577366373394e-05,0.0004263836570159001,-0.01669040379034091,0.0020396855375000005
audSpec_Rfilt_sma_de[9]_mean,-3.1031061960995086e-05,0.0003583559643217822,-0.013242571857954551,0.003318196046590909
audSpec_Rfilt_sma_de[10]_mean,-3.258895447811376e-05,0.00040739660530467804,-0.015688878565909094,0.0034599207954545464
audSpec_Rfilt_sma_de[11]_mean,-3.316485718293581e-05,0.00037551729155186795,-0.014363904416999997,0.002292842626136364
audSpec_Rfilt_sma_de[12]_mean,-3.880392306813025e-05,0.0007159432597240896,-0.02900669352625002,0.002880039661590909
audSpec_Rfilt_sma_de[13]_mean,-3.871630250732206e-05,0.0006943351421059152,-0.028020420923863632,0.003143437058363637
audSpec_Rfilt_sma_de[14]_mean,-3.413630330316392e-05,0.0004653285576961045,-0.01791983156056819,0.0025170158954545448
audSpec_Rfilt_sma_de[15]_mean,-3.1291417647008146e-05,0.00044330197663321023,-0.016370947394318186,0.004596914146590909
audSpec_Rfilt_sma_de[16]_mean,-3.3960387130546844e-05,0.0004830420413748159,-0.018245657433068174,0.0036204961670454547
audSpec_Rfilt_sma_de[17]_mean,-3.542870839953878e-05,0.0005985501803209215,-0.023420041473863645,0.0036759282159090907
audSpec_Rfilt_sma_de[18]_mean,-3.192866626259746e-05,0.0005079299613687193,-0.01926444956931819,0.0034495420863636357
audSpec_Rfilt_sma_de[19]_mean,-2.9928697008681802e-05,0.00047681911995392723,-0.01789243224699999,0.0033804573943181817
audSpec_Rfilt_sma_de[20]_mean,-2.084141224113431e-05,0.0004004282949587611,-0.014412810914545462,0.0035547231571590905
audSpec_Rfilt_sma_de[21]_mean,-2.053238743325795e-05,0.00040116263592123884,-0.014977425449999996,0.003115659187386364
audSpec_Rfilt_sma_de[22]_mean,-2.3021475880096256e-05,0.0005639892680107044,-0.0226081286875,0.002643917994318183
audSpec_Rfilt_sma_de[23]_mean,-1.800997920980565e-05,0.0004480198318334251,-0.01784054699352273,0.002347889489545455
audSpec_Rfilt_sma_de[24]_mean,-1.1761281656098131e-05,0.0002807888004980225,-0.01069398534636364,0.001813062213636364
audSpec_Rfilt_sma_de[25]_mean,-8.612290019340788e-06,0.00021039493843492542,-0.00783155077727273,0.0015444000113636366
pcm_fftMag_fband250-650_sma_de_mean,0.0001238476781830609,0.000586374523499109,-0.004511385778651689,0.00629565166590909
pcm_fftMag_fband1000-4000_sma_de_mean,8.195599252453421e-05,0.0003719134644846243,-0.0017606998146067392,0.005745074772727279
pcm_fftMag_spectralRollOff25.0_sma_de_mean,0.008981526748962989,0.09187845936701788,-1.4851387631818185,1.1744063906741573
pcm_fftMag_spectralRollOff50.0_sma_de_mean,0.017535314704769534,0.15648798462885735,-1.7316284779545454,2.188067052045455
